Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Turkey,Istanbul,Kadir Has University,Cyber Security,"2,450,022 BDT / year",2 years,4.2,115,9%,https://www.mastersportal.com/studies/380596/cyber-security.html?ref=search_card
Malaysia,Kuala Kedah,Universiti Utara Malaysia (UUM),Information and Communication Technology,"542,326 BDT / year",1 year,4.2,28,5%,https://www.mastersportal.com/studies/366403/information-and-communication-technology.html?ref=search_card
Denmark,Sønderborg,University of Southern Denmark,Software Engineering,"1,959,544 BDT / year",2 years,4,36,2%,https://www.mastersportal.com/studies/368779/software-engineering.html?ref=search_card
United Kingdom,England,Royal Holloway University of London,Cyber Security Project Management,"4,186,972 BDT / year",1 year,4.4,66,3%,https://www.mastersportal.com/studies/366960/cyber-security-project-management.html?ref=search_card
Malaysia,Kuala Lumpur,UCSI University,Biotechnology with Business Management,"1,007,727 BDT / year",1½ year,3.7,15,5%,https://www.mastersportal.com/studies/356951/biotechnology-with-business-management.html?ref=search_card
United States,New York,University at Buffalo,Media Arts and Sciences,"3,061,302 BDT / year",1 year,4.3,50,2%,https://www.mastersportal.com/studies/322594/media-arts-and-sciences.html?ref=search_card
United States,Connecticut,University of New Haven,Data Science,"4,592,321 BDT / year",1 year,4.4,24,,https://www.mastersportal.com/studies/340688/data-science.html?ref=search_card
Multiple locations,N/A,Imperial,Health Data Analytics and Machine Learning,"7,218,917 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/336787/health-data-analytics-and-machine-learning.html?ref=search_card
United States,Montana,The University of Montana,Business Analytics,"1,653,765 BDT / year",2 years,5,3,7%,https://www.mastersportal.com/studies/341985/business-analytics.html?ref=search_card
Portugal,Guimarães,University of Minho,BIM A+ European Master in Building Information Modelling,"916,334 BDT / year",10 months,4.1,103,3%,https://www.mastersportal.com/studies/344245/bim-a-european-master-in-building-information-modelling.html?ref=search_card
Greece,Athens,Athens University of Economics and Business,Data Science,"845,846 BDT / year",1 year,4.1,89,8%,https://www.mastersportal.com/studies/323806/data-science.html?ref=search_card
United States,Michigan,Michigan State University,Data Science,"4,777,543 BDT / year",1 year,4,28,1%,https://www.mastersportal.com/studies/326521/data-science.html?ref=search_card
France,Paris,Paris-Saclay University,"M2 Genetics, Genomics, Epigenetics and Evolution","35,244 BDT / year",1 year,4.1,28,0.50%,https://www.mastersportal.com/studies/334791/m2-genetics-genomics-epigenetics-and-evolution.html?ref=search_card
Finland,Turku,University of Turku,Mechanical Engineering - Smart Systems,"1,691,693 BDT / year",2 years,4.4,34,2%,https://www.mastersportal.com/studies/338367/mechanical-engineering-smart-systems.html?ref=search_card
United States,Montana,Montana State University,Data Science,"3,528,032 BDT / year",2 years,5,3,6%,https://www.mastersportal.com/studies/337335/data-science.html?ref=search_card
Poland,Poznan,Poznan University of Technology,Computing,"831,598 BDT / year",1½ year,4.1,48,7%,https://www.mastersportal.com/studies/334006/computing.html?ref=search_card
United Kingdom,England,UCL,Artificial Intelligence for Sustainable Development,"6,384,731 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/344624/artificial-intelligence-for-sustainable-development.html?ref=search_card
Germany,Ingolstadt,"Technische Hochschule Ingolstadt, THI",User Experience Design,"140,974 BDT / year",1½ year,4,20,,https://www.mastersportal.com/studies/333236/user-experience-design.html?ref=search_card
Malaysia,Kuala Lumpur,University Kebangsaan Malaysia,Data Science and Analytics,"1,064,076 BDT / year",1 year,4.3,42,2%,https://www.mastersportal.com/studies/329794/data-science-and-analytics.html?ref=search_card
United States,New Jersey,Fairleigh Dickinson University,Cyber and Homeland Security Administration,"3,078,208 BDT / year",1 year,4,9,,https://www.mastersportal.com/studies/332937/cyber-and-homeland-security-administration.html?ref=search_card
Portugal,Lisbon,University of Lisbon,Communications Engineering and Data Science,"1,127,795 BDT / year",2 years,4.2,270,2%,https://www.mastersportal.com/studies/333419/communications-engineering-and-data-science.html?ref=search_card
United States,Massachusetts,University of Massachusetts Amherst,Data Analytics and Computational Social Science,"4,565,493 BDT / year",1 year,4.5,12,1%,https://www.mastersportal.com/studies/331111/data-analytics-and-computational-social-science.html?ref=search_card
United States,New Jersey,Stevens Institute of Technology,Machine Learning,"5,633,336 BDT / year",1 year,4.2,13,4%,https://www.mastersportal.com/studies/332231/machine-learning.html?ref=search_card
France,Paris,Paris-Saclay University,M2 Smart Aerospace and Autonomous Systems,"35,244 BDT / year",1 year,4.1,28,0.50%,https://www.mastersportal.com/studies/334800/m2-smart-aerospace-and-autonomous-systems.html?ref=search_card
United Kingdom,England,"St Mary's University, Twickenham, London",Computer Science,"2,858,691 BDT / year",1 year,4.4,5,,https://www.mastersportal.com/studies/374528/computer-science.html?ref=search_card
United States,Pennsylvania,Temple University,Public Health Data Science,"7,011,963 BDT / year",1 year,4.2,75,2%,https://www.mastersportal.com/studies/370715/public-health-data-science.html?ref=search_card
United Kingdom,England,University of Kent,Advanced Computer Science with Placement,"3,769,879 BDT / year",2 years,4.1,73,2%,https://www.mastersportal.com/studies/374277/advanced-computer-science-with-placement.html?ref=search_card
United Kingdom,England,University of Hertfordshire,Artificial Intelligence and Robotics,"2,767,252 BDT / year",1 year,4.3,120,4%,https://www.mastersportal.com/studies/375204/artificial-intelligence-and-robotics.html?ref=search_card
Belgium,Bruges,Howest University of Applied Sciences,Advanced Bachelor of Bioinformatics,"504,406 BDT / year",1 year,4.4,11,,https://www.mastersportal.com/studies/366984/advanced-bachelor-of-bioinformatics.html?ref=search_card
Turkey,Istanbul,Kadir Has University,Cyber Security,"2,450,022 BDT / year",2 years,4.2,115,9%,https://www.mastersportal.com/studies/380596/cyber-security.html?ref=search_card
Malaysia,Kuala Kedah,Universiti Utara Malaysia (UUM),Information and Communication Technology,"542,326 BDT / year",1 year,4.2,28,5%,https://www.mastersportal.com/studies/366403/information-and-communication-technology.html?ref=search_card
Germany,München,Ludwig-Maximilians-University (LMU) Munich,Management and Digital Technologies,Free,2 years,4.1,114,0.50%,https://www.mastersportal.com/studies/377817/management-and-digital-technologies.html?ref=search_card
United Kingdom,England,Imperial,Statistics (Data Science),"5,727,008 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/374198/statistics.html?ref=search_card
United Kingdom,England,University of Warwick,Predictive Modelling and Scientific Computing,"5,080,514 BDT / year",1 year,4.4,140,0.50%,https://www.mastersportal.com/studies/374230/predictive-modelling-and-scientific-computing.html?ref=search_card
Austria,Salzburg,Salzburg University of Applied Sciences,Applied Image and Signal Processing,"204,695 BDT / year",2 years,3.6,23,,https://www.mastersportal.com/studies/363641/applied-image-and-signal-processing.html?ref=search_card
United Kingdom,England,UCL,Advanced Materials Science (Data-driven Innovation),"6,384,731 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/369045/advanced-materials-science.html?ref=search_card
Denmark,Sønderborg,University of Southern Denmark,IT Web Communication Design,"1,959,544 BDT / year",2 years,4,36,2%,https://www.mastersportal.com/studies/368823/it-web-communication-design.html?ref=search_card
Denmark,Sønderborg,University of Southern Denmark,IT (Product Design),"1,959,544 BDT / year",2 years,4,36,2%,https://www.mastersportal.com/studies/368959/it.html?ref=search_card
Denmark,Sønderborg,University of Southern Denmark,Software Engineering,"1,959,544 BDT / year",2 years,4,36,2%,https://www.mastersportal.com/studies/368779/software-engineering.html?ref=search_card
United Kingdom,England,Royal Holloway University of London,Cyber Security Project Management,"4,186,972 BDT / year",1 year,4.4,66,3%,https://www.mastersportal.com/studies/366960/cyber-security-project-management.html?ref=search_card
Malaysia,Kuala Lumpur,UCSI University,Biotechnology with Business Management,"1,007,727 BDT / year",1½ year,3.7,15,5%,https://www.mastersportal.com/studies/356951/biotechnology-with-business-management.html?ref=search_card
United States,Texas,University of North Texas,Cybersecurity,"1,969,818 BDT / year",1 year,4.3,27,4%,https://www.mastersportal.com/studies/354908/cybersecurity.html?ref=search_card
United States,Pennsylvania,Drexel University,Artificial Intelligence and Machine Learning,,1 year,4.3,160,3%,https://www.mastersportal.com/studies/350653/artificial-intelligence-and-machine-learning.html?ref=search_card
United States,Texas,Lamar University,Geospatial Sciences,"1,685,615 BDT / year",1 year,4.3,3,,https://www.mastersportal.com/studies/353436/geospatial-sciences.html?ref=search_card
United States,New York,Hofstra University,Data Science,"6,468,058 BDT / year",1 year,4.5,13,,https://www.mastersportal.com/studies/327690/data-science.html?ref=search_card
United States,Missouri,University of Missouri - Columbia,Computer Science (Accelerated),"3,175,719 BDT / year",1 year,4.4,11,2%,https://www.mastersportal.com/studies/335909/computer-science.html?ref=search_card
United States,Alabama,University of Alabama Huntsville,Software Engineering,"3,430,031 BDT / year",1 year,4.3,13,8%,https://www.mastersportal.com/studies/335694/software-engineering.html?ref=search_card
United States,Montana,The University of Montana,Data Science,"1,653,765 BDT / year",1 year,5,3,7%,https://www.mastersportal.com/studies/341960/data-science.html?ref=search_card
France,Montpellier,University of Montpellier,International Business Engineering,"34,257 BDT / year",2 years,4.3,30,2%,https://www.mastersportal.com/studies/356100/international-business-engineering.html?ref=search_card
Turkey,Istanbul,Sabanci University,Data Science,"3,001,277 BDT / year",2 years,4.3,84,3%,https://www.mastersportal.com/studies/366258/data-science.html?ref=search_card
United Kingdom,England,University of Salford,Internet of Things with Data Science,"3,064,029 BDT / year",1 year,4.3,145,5%,https://www.mastersportal.com/studies/368784/internet-of-things-with-data-science.html?ref=search_card
China,Xi'an,Xidian University,Electronic Science and Technology,"379,199 BDT / year",3 years,4,10,4%,https://www.mastersportal.com/studies/369630/electronic-science-and-technology.html?ref=search_card
Turkey,Istanbul,Kadir Has University,Computer Engineering,"2,450,022 BDT / year",2 years,4.2,115,9%,https://www.mastersportal.com/studies/380589/computer-engineering.html?ref=search_card
United Kingdom,England,Northeastern University London,Artificial Intelligence & Ethics,"3,994,468 BDT / year",1 year,4.7,3,5%,https://www.mastersportal.com/studies/370945/artificial-intelligence-ethics.html?ref=search_card
Netherlands,Amsterdam,University of Amsterdam,Data Science and Business Analytics,"3,085,224 BDT / year",1 year,4.2,125,0.50%,https://www.mastersportal.com/studies/370343/data-science-and-business-analytics.html?ref=search_card
United Kingdom,England,UCL,Digital Manufacturing of Advanced Materials,"6,384,731 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/369029/digital-manufacturing-of-advanced-materials.html?ref=search_card
United Kingdom,England,University of Hertfordshire,Data Science,"2,767,252 BDT / year",1 year,4.3,120,4%,https://www.mastersportal.com/studies/375276/data-science.html?ref=search_card
United States,Florida,University of Miami,Electrical and Computer Engineering - Cybersecurity,"7,773,430 BDT / year",1 year,4.4,14,2%,https://www.mastersportal.com/studies/372313/electrical-and-computer-engineering-cybersecurity.html?ref=search_card
Austria,Vienna,Vienna University of Technology,Computer Engineering,"204,977 BDT / year",2 years,3.9,24,3%,https://www.mastersportal.com/studies/372947/computer-engineering.html?ref=search_card
United Kingdom,England,University of Hertfordshire,Software Engineering,"2,767,252 BDT / year",1 year,4.3,120,4%,https://www.mastersportal.com/studies/375731/software-engineering.html?ref=search_card
United Kingdom,England,University of Hertfordshire,Computer Networks and Systems Security with Advanced Research,"3,176,324 BDT / year",2 years,4.3,120,4%,https://www.mastersportal.com/studies/375263/computer-networks-and-systems-security-with-advanced-research.html?ref=search_card
United Kingdom,England,University of Hertfordshire,Computer Networks and Systems Security,"2,767,252 BDT / year",1 year,4.3,120,4%,https://www.mastersportal.com/studies/375262/computer-networks-and-systems-security.html?ref=search_card
United Kingdom,England,University of Suffolk,Advanced Computing,"2,555,497 BDT / year",1 year,4.5,39,,https://www.mastersportal.com/studies/448513/advanced-computing.html?ref=search_card
United States,New York,Clarkson University,Electrical and Computer Engineering,"5,677,926 BDT / year",1 year,3.5,4,7%,https://www.mastersportal.com/studies/413331/electrical-and-computer-engineering.html?ref=search_card
United Kingdom,England,Bucks New University,Artificial Intelligence,"2,494,537 BDT / year",1 year,4,29,,https://www.mastersportal.com/studies/436513/artificial-intelligence.html?ref=search_card
Turkey,Istanbul,MEF University,Information Technologies (Non-Thesis),"735,007 BDT / year",1½ year,4.3,64,,https://www.mastersportal.com/studies/387763/information-technologies.html?ref=search_card
United States,California,Loyola Marymount University,Computer Engineering,"4,211,588 BDT / year",1½ year,4.7,24,,https://www.mastersportal.com/studies/387699/computer-engineering.html?ref=search_card
France,Le Havre,Ecole de Management de Normandie,Artificial Intelligence for Marketing Strategy,"2,734,903 BDT / year",2 years,4.3,21,,https://www.mastersportal.com/studies/398920/artificial-intelligence-for-marketing-strategy.html?ref=search_card
United States,New York,Buffalo State SUNY,Data Science and Analytics,"2,914,301 BDT / year",1 year,4.9,7,,https://www.mastersportal.com/studies/389399/data-science-and-analytics.html?ref=search_card
United Kingdom,England,"Goldsmiths, University of London",Data Science and Artificial Intelligence,"3,906,236 BDT / year",1 year,4,54,5%,https://www.mastersportal.com/studies/391275/data-science-and-artificial-intelligence.html?ref=search_card
Poland,Warsaw,Warsaw School of Computer Science,Cloud Computing,"662,580 BDT / year",2 years,4.3,7,,https://www.mastersportal.com/studies/387539/cloud-computing.html?ref=search_card
United States,Texas,Marymount University,Emerging Technology,"6,147,595 BDT / year",1 year,4,1,,https://www.mastersportal.com/studies/419206/emerging-technology.html?ref=search_card
Austria,Vienna,Vienna University of Technology,Business Informatics,"204,977 BDT / year",2 years,3.9,24,3%,https://www.mastersportal.com/studies/372944/business-informatics.html?ref=search_card
United States,New York,Clarkson University,Electrical and Computer Engineering,"5,677,926 BDT / year",1 year,3.5,4,7%,https://www.mastersportal.com/studies/413331/electrical-and-computer-engineering.html?ref=search_card
United States,New York,LIU Post,Artificial Intelligence,"5,170,771 BDT / year",1 year,4,4,,https://www.mastersportal.com/studies/405943/artificial-intelligence.html?ref=search_card
United States,New York,Mercy University,Business Analytics,"4,071,937 BDT / year",1 year,4.1,8,,https://www.mastersportal.com/studies/417576/business-analytics.html?ref=search_card
Turkey,Izmir,Yasar University,Artificial Intelligence Engineering,"441,004 BDT / year",2 years,4.3,140,,https://www.mastersportal.com/studies/416756/artificial-intelligence-engineering.html?ref=search_card
France,Paris,Sorbonne University,Computer Science - Quantum Information,"35,244 BDT / year",2 years,4.1,47,0.50%,https://www.mastersportal.com/studies/416063/computer-science-quantum-information.html?ref=search_card
Sweden,Stockholm,KTH Royal Institute of Technology,Biostatistics and Data Science,"2,309,901 BDT / year",2 years,4.3,44,1%,https://www.mastersportal.com/studies/409451/biostatistics-and-data-science.html?ref=search_card
Ireland,Dublin,University College Dublin,Economics and Data Analytics,"3,186,021 BDT / year",1 year,4.3,184,1%,https://www.mastersportal.com/studies/418139/economics-and-data-analytics.html?ref=search_card
United States,D.C.,Gallaudet University,Accessible Human-Centered Computing,"3,814,684 BDT / year",2 years,4.4,5,,https://www.mastersportal.com/studies/411275/accessible-human-centered-computing.html?ref=search_card
United States,Tennessee,East Tennessee State University,Information Systems,"3,300,425 BDT / year",1 year,3.9,21,9%,https://www.mastersportal.com/studies/414504/information-systems.html?ref=search_card
United Kingdom,Wales,Swansea University,Applied Data Science,"3,697,690 BDT / year",1 year,4.2,113,2%,https://www.mastersportal.com/studies/411020/applied-data-science.html?ref=search_card
United States,Colorado,Hood College,Health Informatics,"2,554,148 BDT / year",1 year,4.5,4,,https://www.mastersportal.com/studies/422148/health-informatics.html?ref=search_card
Finland,Jyväskylä,University of Jyväskylä,Brain and Data Science,"1,409,744 BDT / year",2 years,4.2,20,3%,https://www.mastersportal.com/studies/430596/brain-and-data-science.html?ref=search_card
United States,Illinois,Concordia University of Chicago,Computer Science,"1,565,564 BDT / year",2 years,5,2,,https://www.mastersportal.com/studies/443260/computer-science.html?ref=search_card
United Kingdom,England,University of East London,Sport Analytics,"2,685,437 BDT / year",1 year,4.3,165,8%,https://www.mastersportal.com/studies/427954/sport-analytics.html?ref=search_card
United Kingdom,Wales,The University of Wales Trinity Saint David,Software Engineering and Artificial Intelligence,"2,695,062 BDT / year",1 year,4.1,29,,https://www.mastersportal.com/studies/442613/software-engineering-and-artificial-intelligence.html?ref=search_card
Turkey,Ankara,METU Middle East Technical University,Data Informatics,"183,752 BDT / year",2 years,4.3,379,3%,https://www.mastersportal.com/studies/418794/data-informatics.html?ref=search_card
United Kingdom,England,University of Leeds,Environmental Data Science and Analytics,,1 year,4.4,72,0.50%,https://www.mastersportal.com/studies/424638/environmental-data-science-and-analytics.html?ref=search_card
United States,Maine,University of Southern Maine,Computer Science,"2,861,013 BDT / year",2 years,5,2,,https://www.mastersportal.com/studies/438715/computer-science.html?ref=search_card
United States,Maine,University of Southern Maine,Statistics- Data Science,"2,861,013 BDT / year",2 years,5,2,,https://www.mastersportal.com/studies/439051/statistics-data-science.html?ref=search_card
Germany,Aachen,RWTH Aachen University,Data Science,Free,2 years,4.4,489,1%,https://www.mastersportal.com/studies/376889/data-science.html?ref=search_card
United Kingdom,England,Imperial,Computing (Visual Computing and Robotics),"7,026,413 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/374206/computing.html?ref=search_card
United Kingdom,England,University of the Arts London (UAL),Creative Robotics,"4,811,007 BDT / year","1 year, 3 months",4.1,79,,https://www.mastersportal.com/studies/375411/creative-robotics.html?ref=search_card
Canada,Edmonton,University of Alberta,Computing Science,"914,071 BDT / year",2 years,4.2,153,0.50%,https://www.mastersportal.com/studies/408332/computing-science.html?ref=search_card
United States,Missouri,Northwest Missouri State University,Applied Health and Sports Science,"1,286,262 BDT / year",1 year,4,2,,https://www.mastersportal.com/studies/386097/applied-health-and-sports-science.html?ref=search_card
United States,Tennessee,Christian Brothers University,Data Science,"3,031,902 BDT / year",1 year,4,1,,https://www.mastersportal.com/studies/381601/data-science.html?ref=search_card
Sweden,Lund,Lund University,"Computational Science, Scientific Computing","2,181,573 BDT / year",2 years,4.5,111,0.50%,https://www.mastersportal.com/studies/405848/computational-science-scientific-computing.html?ref=search_card
Canada,Edmonton,University of Alberta,Computing Science - Multimedia,"914,071 BDT / year",2 years,4.2,153,0.50%,https://www.mastersportal.com/studies/408336/computing-science-multimedia.html?ref=search_card
United States,Illinois,Bradley University,Computational Data Science,"2,363,659 BDT / year",2 years,4.4,59,,https://www.mastersportal.com/studies/395598/computational-data-science.html?ref=search_card
Poland,Lublin,Lublin University of Technology,Computer Science - Software Development and Web Services,"704,872 BDT / year",1½ year,4.3,20,8%,https://www.mastersportal.com/studies/401182/computer-science-software-development-and-web-services.html?ref=search_card
United States,California,California State University San Bernardino,Information Systems and Technology,"1,900,605 BDT / year",1 year,4.3,12,,https://www.mastersportal.com/studies/387647/information-systems-and-technology.html?ref=search_card
United States,Rhode Island,University of Rhode Island,Quantum Computing,"3,807,824 BDT / year",1 year,4.6,7,4%,https://www.mastersportal.com/studies/398267/quantum-computing.html?ref=search_card
United States,Ohio,Cleveland State University (CSU),Computer Science,"1,710,115 BDT / year",1 year,4.7,94,7%,https://www.mastersportal.com/studies/406997/computer-science.html?ref=search_card
United States,Indiana,Indiana University Indianapolis,Information Systems,"2,719,524 BDT / year",1 year,4.2,28,3%,https://www.mastersportal.com/studies/404867/information-systems.html?ref=search_card
United States,New York,University at Buffalo,Engineering Science (Cybersecurity),"3,061,302 BDT / year",1 year,4.3,50,2%,https://www.mastersportal.com/studies/402717/engineering-science.html?ref=search_card
United States,Texas,University of North Texas,Advanced Health Data Analytics,"1,969,818 BDT / year",1 year,4.3,27,4%,https://www.mastersportal.com/studies/397491/advanced-health-data-analytics.html?ref=search_card
United States,North Carolina,North Carolina Agricultural & Technical State University,Data Analytics,"2,167,779 BDT / year",1 year,3.5,20,9%,https://www.mastersportal.com/studies/395941/data-analytics.html?ref=search_card
United States,Minnesota,"Concordia University, St. Paul",Data Analytics,"2,315,271 BDT / year",1 year,4.2,55,,https://www.mastersportal.com/studies/402271/data-analytics.html?ref=search_card
United States,New Jersey,Seton Hall University,Financial Technology and Analytics,"4,487,583 BDT / year",1½ year,4,4,,https://www.mastersportal.com/studies/407760/financial-technology-and-analytics.html?ref=search_card
United States,Maryland,University of Maryland,Marketing Analytics,"6,901,712 BDT / year",1 year,4.1,16,0.50%,https://www.mastersportal.com/studies/426041/marketing-analytics.html?ref=search_card
United States,California,Alliant International University,Healthcare Analytics,"3,424,028 BDT / year",1 year,3.8,22,,https://www.mastersportal.com/studies/421626/healthcare-analytics.html?ref=search_card
United States,Pennsylvania,Point Park University,Information Systems and Business Analytics,"3,094,378 BDT / year",1 year,3.9,9,,https://www.mastersportal.com/studies/421667/information-systems-and-business-analytics.html?ref=search_card
United States,Wisconsin,University of Wisconsin Milwaukee,Information Technology Management - AI and Data Analytics,"3,204,506 BDT / year",1 year,3.9,15,5%,https://www.mastersportal.com/studies/423109/information-technology-management-ai-and-data-analytics.html?ref=search_card
United States,Iowa,Maharishi International University,Computer Science,"5,454,974 BDT / year","1 year, 1 month",4.3,16,,https://www.mastersportal.com/studies/423596/computer-science.html?ref=search_card
United States,Pennsylvania,Geneva College,Cybersecurity,"2,825,733 BDT / year",1 year,,,,https://www.mastersportal.com/studies/425098/cybersecurity.html?ref=search_card
United States,New York,Mercy University,Computer Science,"4,071,937 BDT / year",1 year,4.1,8,,https://www.mastersportal.com/studies/417584/computer-science.html?ref=search_card
United States,Maryland,Art Center College of Design,Spatial Experience Design,"7,144,264 BDT / year",2 years,4.3,8,,https://www.mastersportal.com/studies/421060/spatial-experience-design.html?ref=search_card
Germany,Paderborn,University of Paderborn,Computer Engineering,Free,2 years,4.3,34,6%,https://www.mastersportal.com/studies/422352/computer-engineering.html?ref=search_card
Canada,Prince George,University of Northern British Columbia,Computer Science,"460,729 BDT / year",2 years,4.2,17,,https://www.mastersportal.com/studies/432291/computer-science.html?ref=search_card
Turkey,Izmir,Dokuz Eylul University,Machine Theory and Dynamics,,2 years,4,272,7%,https://www.mastersportal.com/studies/434869/machine-theory-and-dynamics.html?ref=search_card
United States,New Jersey,Rowan University,Cybersecurity,"2,055,568 BDT / year",1½ year,4.2,12,9%,https://www.mastersportal.com/studies/428687/cybersecurity.html?ref=search_card
Turkey,Istanbul,MEF University,Information Technologies (Thesis),"857,508 BDT / year",2 years,4.3,64,,https://www.mastersportal.com/studies/387758/information-technologies.html?ref=search_card
France,Gif-sur-Yvette,CentraleSupélec,Artificial Intelligence,"2,114,616 BDT / year","1 year, 4 months",4,4,,https://www.mastersportal.com/studies/387651/artificial-intelligence.html?ref=search_card
United States,Michigan,Lawrence Technological University,Electrical and Computer Engineering,"5,475,799 BDT / year",1 year,5,1,,https://www.mastersportal.com/studies/393479/electrical-and-computer-engineering.html?ref=search_card
Poland,Poznan,Poznan University of Life Sciences,Geoinformation and Spatial Management,"296,046 BDT / year",2 years,4.6,42,7%,https://www.mastersportal.com/studies/387345/geoinformation-and-spatial-management.html?ref=search_card
United States,New York,State University of New York Plattsburgh,Data Analytics,"2,829,775 BDT / year",11 months,4.7,3,,https://www.mastersportal.com/studies/388012/data-analytics.html?ref=search_card
United States,Tennessee,Middle Tennessee State University,Health Care Informatics,"2,366,721 BDT / year",1 year,4.8,5,10%,https://www.mastersportal.com/studies/390630/health-care-informatics.html?ref=search_card
United Kingdom,England,Imperial,Advanced Computing,"7,026,413 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/3232/advanced-computing.html?ref=search_card
United Kingdom,England,University of Sheffield,Information Systems Management,"4,764,485 BDT / year",1 year,4.3,112,1%,https://www.mastersportal.com/studies/4641/information-systems-management.html?ref=search_card
United Kingdom,England,University of Sheffield,Information Systems Management,"4,764,485 BDT / year",1 year,4.3,112,1%,https://www.mastersportal.com/studies/4970/information-systems-management.html?ref=search_card
Sweden,Stockholm,KTH Royal Institute of Technology,Communication Systems,"2,309,901 BDT / year",2 years,4.3,44,1%,https://www.mastersportal.com/studies/9246/communication-systems.html?ref=search_card
Netherlands,Delft,Delft University of Technology (TU Delft),Geomatics,"3,142,319 BDT / year",2 years,4.2,64,0.50%,https://www.mastersportal.com/studies/330/geomatics.html?ref=search_card
United Kingdom,England,King's College London,Advanced Software Engineering,"6,063,891 BDT / year",1 year,4.2,141,0.50%,https://www.mastersportal.com/studies/2329/advanced-software-engineering.html?ref=search_card
United Kingdom,England,University of Hertfordshire,Computer Science,"2,767,252 BDT / year",1 year,4.3,120,4%,https://www.mastersportal.com/studies/8509/computer-science.html?ref=search_card
Turkey,Ankara,Bilkent University,Computer Engineering,"2,076,394 BDT / year",2 years,4.2,294,4%,https://www.mastersportal.com/studies/1111/computer-engineering.html?ref=search_card
Norway,Tromsø,UIT the Arctic University of Norway,Computer Science,"3,049,827 BDT / year",2 years,3.9,30,3%,https://www.mastersportal.com/studies/19460/computer-science.html?ref=search_card
Netherlands,Utrecht,Utrecht University,Artificial Intelligence,"3,444,286 BDT / year",2 years,4.2,138,2%,https://www.mastersportal.com/studies/46338/artificial-intelligence.html?ref=search_card
Multiple locations,N/A,Hult International Business School,Master's in Finance,"7,411,317 BDT / year",1 year,4.2,72,,https://www.mastersportal.com/studies/14790/masters-in-finance.html?ref=search_card
Switzerland,Bern,University of Bern,Statistics and Data Science,"287,855 BDT / year",1½ year,4.2,11,1%,https://www.mastersportal.com/studies/12196/statistics-and-data-science.html?ref=search_card
Switzerland,Genève,University of Geneva,Computer Science,"151,502 BDT / year",2 years,3.8,33,1%,https://www.mastersportal.com/studies/12141/computer-science.html?ref=search_card
United Kingdom,Scotland,Glasgow Caledonian University,3D Design for Virtual Environments,"2,598,810 BDT / year",1 year,4.4,95,5%,https://www.mastersportal.com/studies/27611/3d-design-for-virtual-environments.html?ref=search_card
United Kingdom,Scotland,The University of Edinburgh,Computer Science,"7,284,690 BDT / year",1 year,4.1,150,0.50%,https://www.mastersportal.com/studies/914/computer-science.html?ref=search_card
United Arab Emirates,Dubai,Curtin University,Master of Artificial Intelligence,"2,801,932 BDT / year",1 year,4.3,69,1%,https://www.mastersportal.com/studies/484290/master-of-artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Kent,Data Science with Placement,"3,769,879 BDT / year",2 years,4.1,73,2%,https://www.mastersportal.com/studies/473226/data-science-with-placement.html?ref=search_card
Multiple locations,N/A,Hult International Business School,Master's in Finance,"7,411,317 BDT / year",1 year,4.2,72,,https://www.mastersportal.com/studies/14790/masters-in-finance.html?ref=search_card
United Kingdom,England,University of Leeds,Advanced Computer Science,,1 year,4.4,72,0.50%,https://www.mastersportal.com/studies/15165/advanced-computer-science.html?ref=search_card
Turkey,Istanbul,Bogazici University,Computer Engineering,"122,501 BDT / year",1 year,4.3,264,3%,https://www.mastersportal.com/studies/17749/computer-engineering.html?ref=search_card
Sweden,Göteborg,Chalmers University of Technology,"Computer Science - Algorithms, Languages and Logic","2,053,245 BDT / year",2 years,3.7,26,2%,https://www.mastersportal.com/studies/14529/computer-science-algorithms-languages-and-logic.html?ref=search_card
United Kingdom,England,University of Hertfordshire,Computer Science,"2,767,252 BDT / year",1 year,4.3,120,4%,https://www.mastersportal.com/studies/8509/computer-science.html?ref=search_card
Turkey,Istanbul,Koc University,Computational Sciences and Engineering,Free,2 years,4.1,151,3%,https://www.mastersportal.com/studies/17207/computational-sciences-and-engineering.html?ref=search_card
France,Saint-Étienne,Jean Monnet University,Machine Learning and Data Mining,"106,154 BDT / year",2 years,4.1,18,9%,https://www.mastersportal.com/studies/40666/machine-learning-and-data-mining.html?ref=search_card
Netherlands,Enschede,University of Twente (UT),Geo-Information Science and Earth Observation,"2,664,416 BDT / year",2 years,4.1,74,2%,https://www.mastersportal.com/studies/39776/geo-information-science-and-earth-observation.html?ref=search_card
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,"3,665,334 BDT / year",2 years,4.2,125,0.50%,https://www.mastersportal.com/studies/32486/artificial-intelligence.html?ref=search_card
