Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
United Kingdom,England,Brunel University of London,Data Science and Analytics,"3,977,623 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/51164/data-science-and-analytics.html?ref=search_card
United Kingdom,England,Leeds Beckett University,Information and Technology,"2,871,525 BDT / year",1 year,4,66,6%,https://www.mastersportal.com/studies/47000/information-and-technology.html?ref=search_card
France,Rennes,Rennes School of Business,Financial Data Intelligence,"1,973,641 BDT / year",2 years,4.2,39,,https://www.mastersportal.com/studies/467178/financial-data-intelligence.html?ref=search_card
United Kingdom,N Ireland,Queen's University Belfast,Artificial Intelligence,"4,138,846 BDT / year",1 year,4.3,88,2%,https://www.mastersportal.com/studies/436989/artificial-intelligence.html?ref=search_card
United States,Illinois,Lewis University,Management Information Systems,"3,252,404 BDT / year",1 year,4.7,3,,https://www.mastersportal.com/studies/482840/management-information-systems.html?ref=search_card
United Kingdom,Wales,Bangor University,Business Data Analytics,"3,288,618 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/441511/business-data-analytics.html?ref=search_card
United Kingdom,England,Bournemouth University,Computer Animation and Visual Effects,"3,007,882 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/8044/computer-animation-and-visual-effects.html?ref=search_card
Ireland,Cork,University College Cork,Interactive Media,"3,665,334 BDT / year",1 year,4.3,173,2%,https://www.mastersportal.com/studies/352511/interactive-media.html?ref=search_card
United Kingdom,Scotland,Edinburgh Napier University,Cyber Security,"3,437,809 BDT / year",1 year,4.4,81,4%,https://www.mastersportal.com/studies/36617/cyber-security.html?ref=search_card
Ireland,Cork,University College Cork,Accounting and Performance Analytics,"2,777,195 BDT / year",1 year,4.3,173,2%,https://www.mastersportal.com/studies/4074/accounting-and-performance-analytics.html?ref=search_card
United Kingdom,Wales,Cardiff University,Computing,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/9354/computing.html?ref=search_card
Sweden,Växjö,Linnaeus University,Mathematics and Modelling - Algebra with Cryptography and Coding,"1,989,081 BDT / year",2 years,3.9,75,7%,https://www.mastersportal.com/studies/149758/mathematics-and-modelling-algebra-with-cryptography-and-coding.html?ref=search_card
United Kingdom,Wales,Cardiff University,Software Engineering,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/216204/software-engineering.html?ref=search_card
United Kingdom,England,University of Liverpool,Computer Science,"4,940,948 BDT / year",1 year,4.3,115,1%,https://www.mastersportal.com/studies/288217/computer-science.html?ref=search_card
